name,source,gender,wikidata,type
"Avenue Prince de Liège",wikidata,-,Q2049261,way
"Chaussée de Dinant",wikidata,-,Q108247,way
"Chaussée de Louvain",wikidata,-,Q118958,way
"Chaussée de Louvain - Chaussée de Namur",wikidata,-,Q118958,way
"Pont de France",wikidata,-,Q142,way
"Rue de Fer",wikidata,-,Q677,way
"Rue du Pont de Louvain",wikidata,-,Q118958,way
"Avenue Blanche de Namur",wikidata,F,Q242598,way
"Avenue Reine Astrid",wikidata,F,Q230238,way
"Avenue Albert 1er",wikidata,M,Q55008046,way
"Avenue Baudouin Premier",wikidata,M,Q12976,way
"Avenue Cardinal Mercier",wikidata,M,Q468097,way
"Avenue Léopold II",wikidata,M,Q12967,way
"Avenue Vauban",wikidata,M,Q192839,way
"Avenue du Val Saint-Georges",wikidata,M,Q48438,way
"Boulevard Frère Orban",wikidata,M,Q705791,way
"Rue Emile Cuvelier",wikidata,M,Q2997972,way
"Rue François Dufer",wikidata,M,Q15971956,way
"Rue Henri Blès",wikidata,M,Q677006,way
"Rue Jean de Dampierre",wikidata,M,Q3175382,way
"Rue Joseph Vincent",wikidata,M,Q6287615,way
